"","id","word","n"
"245","131-3228","ich",2
"246","131-3229","pour",2
"247","131-3234","clinton",2
"248","131-3266","calling",2
"249","131-3272","hem",2
"250","131-3277","teach",2
"251","131-3306","empowering",2
"252","131-3307","empowering",2
"253","131-3323","4",2
"254","131-3324","4",2
"255","131-3337","van",2
"256","131-3347","pour",2
"257","131-3350","cuando",2
"258","131-3361","explore",2
"259","131-3361","pbs",2
"260","131-3367","jour",2
"261","131-3378","canada",2
"262","131-338","white",2
"263","131-3430","clinton",2
"264","131-3437","stop",2
"265","131-3458","clinton",2
"266","131-3459","clinton",2
"267","131-3460","clinton",2
"268","131-3461","clinton",2
"269","131-3465","clinton",2
"270","131-3466","clinton",2
"271","131-3467","clinton",2
"272","131-3468","clinton",2
"273","131-3469","clinton",2
"274","131-3470","clinton",2
"275","131-3471","clinton",2
"276","131-3478","clinton",2
"277","131-349","double",2
"278","131-350","double",2
"279","131-351","double",2
"280","131-356","pedir",2
"281","131-359","idea",2
"282","131-3615","nocibeplusjamais",2
"283","131-3617","er",2
"284","131-3624","double",2
"285","131-3627","double",2
"286","131-3628","double",2
"287","131-3677","obama",2
"288","131-3678","founder",2
"289","131-3679","pour",2
"290","131-3759","und",2
"291","131-3803","judges",2
"292","131-3805","pour",2
"293","131-3819","idea",2
"294","131-3822","canada",2
"295","131-3879","pour",2
"296","131-3885","cheating",2
"297","131-3903","pour",2
"298","131-3928","teach",2
"299","131-3929","pour",2
"300","131-3941","nancy",2
"301","131-3952","movement",2
"302","131-3953","movement",2
"303","131-3954","movement",2
"304","131-3966","idea",2
"305","131-3967","idea",2
"306","131-4021","pour",2
"307","131-4023","nicht",2
"308","131-4046","money",2
"309","131-4063","harvard",2
"310","131-4064","harvard",2
"311","131-4083","pour",2
"312","131-4084","pour",2
"313","131-4092","pour",2
"314","131-4096","clinton",2
"315","131-4097","clinton",2
"316","131-4106","ikke",2
"317","131-4106","til",2
"318","131-4116","su",2
"319","131-4117","su",2
"320","131-4118","su",2
"321","131-4119","der",2
"322","131-4119","nicht",2
"323","131-4214","pour",2
"324","131-4215","pour",2
"325","131-4223","palabra",2
"326","131-4226","maar",2
"327","131-4227","maar",2
"328","131-4234","p2",2
"329","131-4237","obama",2
"330","131-425","pound",2
"331","131-425","sign",2
"332","131-4256","obama",2
"333","131-4257","obama",2
"334","131-4258","clinton",2
"335","131-4269","shag",2
"336","131-4270","shag",2
"337","131-4279","teach",2
"338","131-4288","chicago",2
"339","131-431","clinton",2
"340","131-4365","clinton",2
"341","131-4375","der",2
"342","131-4471","chanel",2
"343","131-449","live",2
