"","topic","term","beta"
"145",1,"person",2.52530770926589e-295
"146",2,"person",4.02436338688716e-293
"147",3,"person",1.61296501677874e-06
"148",4,"person",0.000851774311215925
"149",5,"person",4.38661557104144e-292
"150",6,"person",2.10978036742252e-300
"151",1,"rap",2.73822481843831e-305
"152",2,"rap",6.31919014352463e-299
"153",3,"rap",4.12643853980695e-08
"154",4,"rap",0.000568716423755209
"155",5,"rap",6.70651473424821e-300
"156",6,"rap",4.40882382958446e-307
"157",1,"assault",1.09901335314636e-60
"158",2,"assault",8.94326193420476e-93
"159",3,"assault",8.6046670306711e-19
"160",4,"assault",9.89033780753026e-42
"161",5,"assault",3.51669921539575e-92
"162",6,"assault",0.0641728482452533
"163",1,"rise",4.43018644796667e-293
"164",2,"rise",5.64947482699861e-298
"165",3,"rise",7.13012674788612e-295
"166",4,"rise",0.00454998838023584
"167",5,"rise",2.3680091449548e-08
"168",6,"rise",1.43350106843874e-296
"169",1,"monica",2.1919221587748e-26
"170",2,"monica",0.00126427010803708
"171",3,"monica",8.4890624681503e-51
"172",4,"monica",1.63384825902348e-62
"173",5,"monica",0.00340811287447304
"174",6,"monica",8.0038768619383e-294
"175",1,"film",5.31948590194616e-37
"176",2,"film",0.00126427010803725
"177",3,"film",7.95933996345139e-30
"178",4,"film",0.000568751017384944
"179",5,"film",0.00238567901213145
"180",6,"film",2.02290972934153e-287
"181",1,"movimento",2.53642822594089e-311
"182",2,"movimento",0.00568921548616735
"183",3,"movimento",4.98006437465397e-40
"184",4,"movimento",4.89975812579952e-308
"185",5,"movimento",5.63008332458194e-311
"186",6,"movimento",1.1533947904945e-312
"187",1,"exist",1.96762916020388e-114
"188",2,"exist",7.22200457808442e-319
"189",3,"exist",0.000678424354012896
"190",4,"exist",1.00245919541189e-320
"191",5,"exist",2.36980563290337e-318
"192",6,"exist",3.23404209648591e-305
"193",1,"reason",1.7261781620079e-114
"194",2,"reason",1.00495916757985e-318
"195",3,"reason",0.000678424354012896
"196",4,"reason",1.12251714735131e-320
"197",5,"reason",1.12223058927672e-318
"198",6,"reason",4.59234385087745e-305
"199",1,"ministes",3.72007597602084e-44
"200",2,"ministes",3.72007597602084e-44
"201",3,"ministes",3.72007597602084e-44
"202",4,"ministes",0.00170625305215603
"203",5,"ministes",3.72007597602084e-44
"204",6,"ministes",3.72007597602084e-44
"205",1,"sont",3.72007597602084e-44
"206",2,"sont",3.72007597602084e-44
"207",3,"sont",3.72007597602084e-44
"208",4,"sont",0.00170625305215603
"209",5,"sont",3.72007597602084e-44
"210",6,"sont",3.72007597602084e-44
"211",1,"toutes",3.72007597602084e-44
"212",2,"toutes",3.72007597602084e-44
"213",3,"toutes",3.72007597602084e-44
"214",4,"toutes",0.00170625305215603
"215",5,"toutes",3.72007597602084e-44
"216",6,"toutes",3.72007597602084e-44
"217",1,"han",1.01734094673027e-317
"218",2,"han",0.000948202581027892
"219",3,"han",5.27216561359032e-317
"220",4,"han",2.61854792295861e-322
"221",5,"han",5.20267429237145e-318
"222",6,"han",2.61168041048141e-319
"223",1,"mujeres",0.000587967599814054
"224",2,"mujeres",0.00293108437425216
"225",3,"mujeres",3.19766024043541e-296
"226",4,"mujeres",4.00520025598544e-306
"227",5,"mujeres",5.7418465593019e-301
"228",6,"mujeres",2.09304075813251e-304
