"","topic","term","beta"
"145",5,"male",0.00142091201695568
"146",6,"male",0.000926529304310462
"147",7,"male",1.34728060869542e-56
"148",8,"male",0.00200112921191453
"149",9,"male",0.00394407775028842
"150",10,"male",1.91605195871998e-59
"151",1,"change",0.00723460071837036
"152",2,"change",0.00188330947795432
"153",3,"change",6.90575668260131e-12
"154",4,"change",0.00446650761275379
"155",5,"change",6.50528380340777e-23
"156",6,"change",0.00149149788620945
"157",7,"change",0.00169692709147307
"158",8,"change",7.78761954868041e-40
"159",9,"change",1.11652869977572e-40
"160",10,"change",0.00371466592534606
"161",1,"bad",0.00161916709201361
"162",2,"bad",0.000501061632839469
"163",3,"bad",7.77383257402925e-28
"164",4,"bad",2.63826843805895e-255
"165",5,"bad",0.0012260178201007
"166",6,"bad",2.97607413726752e-17
"167",7,"bad",3.72007597602084e-44
"168",8,"bad",1.31893812257442e-53
"169",9,"bad",1.04038831202553e-55
"170",10,"bad",1.20634829740623e-51
"171",1,"del",2.36414633684368e-88
"172",2,"del",2.96691256875899e-10
"173",3,"del",5.39441963083476e-49
"174",4,"del",2.11241333541913e-63
"175",5,"del",3.72007597602084e-44
"176",6,"del",4.87581352539969e-81
"177",7,"del",7.70577836433907e-70
"178",8,"del",0.00103534283114937
"179",9,"del",0.0115148740238242
"180",10,"del",7.93539033063662e-83
"181",1,"twba",3.88128448824333e-215
"182",2,"twba",1.73511125124731e-129
"183",3,"twba",1.5821068460657e-92
"184",4,"twba",5.14870034142851e-92
"185",5,"twba",1.49336236836202e-68
"186",6,"twba",2.34173159715444e-92
"187",7,"twba",1.01081148376135e-61
"188",8,"twba",1.6409512992425e-68
"189",9,"twba",1.15881814952919e-92
"190",10,"twba",0.000455461745172125
"191",1,"read",0.00273705118684626
"192",2,"read",0.00185799467532946
"193",3,"read",2.1128997111884e-08
"194",4,"read",3.27508215435409e-111
"195",5,"read",0.0016130622497191
"196",6,"read",7.84764008596979e-46
"197",7,"read",3.8705709561438e-27
"198",8,"read",0.00538470466512105
"199",9,"read",5.65497653580444e-57
"200",10,"read",0.00248004759099538
"201",1,"rden",2.46142613256559e-129
"202",2,"rden",5.14236307729761e-117
"203",3,"rden",1.32058861398058e-129
"204",4,"rden",0.000522615665856465
"205",5,"rden",2.26691039631053e-129
"206",6,"rden",2.61948461097515e-129
"207",7,"rden",1.42344879325329e-117
"208",8,"rden",3.30236209211928e-129
"209",9,"rden",7.60421709400137e-130
"210",10,"rden",3.97290420332852e-129
"211",1,"se",4.97587721865327e-55
"212",2,"se",1.05095028304097e-21
"213",3,"se",6.99057587479192e-43
"214",4,"se",2.23993730940751e-13
"215",5,"se",6.8587519966158e-151
"216",6,"se",9.40946031315716e-52
"217",7,"se",1.86300188179898e-69
"218",8,"se",1.02734784382989e-55
"219",9,"se",0.0158329520211351
"220",10,"se",4.45862746070575e-11
"221",1,"lo",5.22352625598318e-79
"222",2,"lo",1.01538971872706e-08
"223",3,"lo",5.7467534402335e-42
"224",4,"lo",2.78773041375579e-21
"225",5,"lo",5.07108887180567e-79
"226",6,"lo",2.91820631262833e-41
"227",7,"lo",2.89638891429844e-89
