"id","tweet","date","screenName","retweetCount","isRetweet","retweeted","favoriteCount"
1,"This sign deserves a pulitzer  #marchforourlives (������ @claremarienyc) https://t.co/9qHcEjbhq6",2018-03-24 17:02:15,"feministabulous",58741,FALSE,FALSE,176532
2,"Please share before 10am:

There are trolls trying to throw off the hashtags for tomorrow, by doing hashtags like M… https://t.co/ec8YEju5ds",2018-03-24 00:53:48,"funder",16903,FALSE,FALSE,25873
3,"Emma Gonzalez. 

The entire speech. 

Watch. All. Of. It. 

#MarchForOurLives 

https://t.co/AK47lWEkAM",2018-03-24 21:15:13,"MichaelSkolnik",89173,FALSE,FALSE,226495
4,"RT @CBSNews: ""I am here to acknowledge &amp; represent the African-American girls whose stories don't make the front page of every national new…",2018-03-24 23:59:59,"Emi_l_l_y",29714,TRUE,FALSE,0
5,"RT @KimKardashian: So ready to March today! Landed in DC w North &amp; Kanye. We stand in solidarity with the survivors of gun violence &amp; stude…",2018-03-24 23:59:59,"zxcvanessa",4070,TRUE,FALSE,0
6,"RT @rgreen002: “Hey hey ho ho Ted Cruz has got to go” #MarchForOurLives #FortWorth https://t.co/ECQa3hHSrP",2018-03-24 23:59:59,"kharyp",754,TRUE,FALSE,0
7,"RT @feministabulous: This sign deserves a pulitzer  #marchforourlives (������ @claremarienyc) https://t.co/9qHcEjbhq6",2018-03-24 23:59:59,"JCKKB374",58741,TRUE,FALSE,0
8,"RT @alex_woodward: Fired up and fearless—the young leaders of the #Chicago #MarchForOurLives  are calling for no guns, no violence, and no…",2018-03-24 23:59:59,"jaxhead",24,TRUE,FALSE,0
9,"RT @CBSNews: Stoneman Douglas student @Emma4Change reads the names of her fellow Parkland students who were killed in the Feb. 14 shooting,…",2018-03-24 23:59:59,"g48by_",7139,TRUE,FALSE,0
10,"RT @BuzzFeedNews: Naomi Wadler, 11, told Washington, DC's #MarchForOurLives that she was there to represent ""African-American girls whose s…",2018-03-24 23:59:59,"laurenmranalli",122,TRUE,FALSE,0
11,"RT @TheBeatWithAri: ""I'm sick and tired of the NRA trying to wrap themselves in the flag of the United States... our job was harder prevent…",2018-03-24 23:59:59,"rwurz79",5352,TRUE,FALSE,0
12,"RT @tedlieu: Dear @NRA: See all these Americans? They don't like you. 

This is just one of hundreds of marches taking place in our great c…",2018-03-24 23:59:59,"Donna95380",6762,TRUE,FALSE,0
13,"RT @HalseyInsider: iamhalsey: “TODAY I SAW THE FUTURE WITH MY OWN TWO EYES. #marchforourlives #neveragain” https://t.co/se3t88D903",2018-03-24 23:59:59,"badlawndss",38,TRUE,FALSE,0
14,"RT @courtneygfuller: To the politicians who sent their thoughts and prayers after Sandy Hook, Columbine, Aurora, Virginia Tech, Pulse, Vega…",2018-03-24 23:59:59,"PegT",70,TRUE,FALSE,0
15,"RT @Curlysuechick19: The smartest sign I’ve seen at #MarchForOurLives! Thanks for sharing on @instagram, @FullFrontalSamB! #GunControlNow #…",2018-03-24 23:59:59,"bjen1234",7,TRUE,FALSE,0
16,"RT @rachelrose094: This kid wins the sign game #marchforourlives https://t.co/yCqrChwf9J",2018-03-24 23:59:59,"natalieinezp",167685,TRUE,FALSE,0
17,"RT @katieporteroc: Thank you to the thousands of student organizers around the country for leading the #MarchForOurLives today. I was honor…",2018-03-24 23:59:59,"MetroDonMartin",16,TRUE,FALSE,0
18,"RT @Zendaya: Today we #MarchForOurLives https://t.co/fS2uXWLq3E",2018-03-24 23:59:59,"laceyxlorraine",6932,TRUE,FALSE,0
19,"RT @carolynmahr: Inspired and empowered by the students at #MSDStrong and all those marching today - We love you, we support you, and we st…",2018-03-24 23:59:59,"lindseyKPRDSB",9,TRUE,FALSE,0
20,"RT @voiceblm: Live: ������������
We march because we’re fearless. We march because we refuse to fall prey to the fabricated illusions of the #NRA. We…",2018-03-24 23:59:59,"sba1211",5751,TRUE,FALSE,0
21,"RT @rklau: Here is the entire video of Naomi Wadler's speech at the #MarchForOurLives rally in DC. This is as great a speech as you'll see…",2018-03-24 23:59:59,"libertyposse",843,TRUE,FALSE,0
22,"RT @car_nove: To be honest, I'm scared to march. This is a march against gun violence, and I am scared there will be gun violence during th…",2018-03-24 23:59:59,"Ravyne",6094,TRUE,FALSE,0
23,"RT @LiberalVenom: The @NRA says they have about 5 million members.

We had more marchers than that today.

Say goodbye to your power.
Say g…",2018-03-24 23:59:59,"erichards24",2318,TRUE,FALSE,0
24,"RT @CBSNews: ""Since this movement began, people have asked me, do you think any change is going to come from this?"" says Cameron Kasky, a S…",2018-03-24 23:59:59,"MtuellJudy",4543,TRUE,FALSE,0
25,"RT @amjoyshow: Jennifer Hudson, gun violence victim, joins #Parkland students for #MarchForOurLives rally finale https://t.co/TjtdxdQJuD vi…",2018-03-24 23:59:59,"theahmad__",246,TRUE,FALSE,0
26,"RT @LunaLuvgood2017: There’s something happening here 

What it is ain’t exactly clear 

There’s a man with a gun over there 

Telling me I…",2018-03-24 23:59:59,"MuffinPuss",710,TRUE,FALSE,0
