"id","tweet","date"
38,"RT @chuckwestover: The @NRA is a terrorist organization filled with garbage human beings who care more about selling guns than the lives of…",2018-03-27 11:06:47
39,"RT @RepSwalwell: Nothing outrages me more than hearing the NRA attacking high schoolers. Then it occurred to me: the NRA is attacking these…",2018-03-27 11:06:46
40,"RT @RepSwalwell: Nothing outrages me more than hearing the NRA attacking high schoolers. Then it occurred to me: the NRA is attacking these…",2018-03-27 11:06:46
41,"RT @ohstephany_: While Officer Peterson kept 500 feet of distance and told others to do the same, this was my experience as a senior on the…",2018-03-27 11:06:41
42,"RT @RepTedDeutch: USA Today: Amid slumping sales, Remington, manufacturer of weapon used at Sandy Hook, is now trying to use bankruptcy pro…",2018-03-27 11:06:40
43,"RT @MissMeganEmily: Thank you to every person who showed up in the streets yesterday - in DC and everywhere else. I can’t express how much…",2018-03-27 11:06:33
44,"RT @coton_luver: @dherman001 @glennbeck @noprezzie2012 @DLoesch Emma Gonzalez did NOT tear up a copy of the Constitution. Below is the orig…",2018-03-27 11:06:33
45,"RT @PiperPerabo: I asked a @MomsDemand friend did any gun reform bills pass in #NJ today? She said...

           “THEY ALL PASSED”

-curb…",2018-03-27 11:06:33
46,"RT @RhutaBhayga2: .@NRA

Nothing worse than a pissed off teenager. 

Except millions of pissed off teenagers, ready to vote. 

#NeverAgain",2018-03-27 11:06:32
47,"RT @joncoopertweets: Thousands register to vote at March for Our Lives demonstrations

“People are really understanding the power of the vo…",2018-03-27 11:06:31
48,"RT @RepSwalwell: This weekend, millions marched to say #neveragain. Whatever it is that matters most to you, all changes come when your foo…",2018-03-27 11:06:29
49,"RT @TeenVogue: Last Saturday, @CliftonKinnie, @NickSwerve, Jazmine Wildcat, @KenidraRWoods_ and Natalie Barden — youth from different backg…",2018-03-27 11:06:28
50,"RT @Goss30Goss: Guess the NRA &amp; idiots like Rick Santorum/Steve King feel powerful putting down teenagers who have survived a mass shooting…",2018-03-27 11:06:23
