tweet,date,text
25,2/25/18 10:37,Drôle de monde #MeToo ou #BalanceTonPorc dans lequel une cagnotte pour un présumé multi-violeur atteint des sommets alors que les nombreuses victimes présumées restent seules... #Ramadan @Henda_Ayari @JSuisChristelle #FreeRaif https://t.co/5plxWFd7Q8
26,2/25/18 10:37,Drôle de monde #MeToo ou #BalanceTonPorc dans lequel une cagnotte pour un présumé multi-violeur atteint des sommets alors que les nombreuses victimes présumées restent seules... #Ramadan @Henda_Ayari @JSuisChristelle #FreeRaif https://t.co/5plxWFd7Q8
27,2/21/18 19:17,@NewYorker #SexualPredatorInChief beginnings...#MeToo @realDonaldTrump @IvankaTrump @jaredkushner @SenatorCollins @LindseyGrahamSC @SpeakerRyan @GrassleyPress @lisamurkowski @clairecmc @SpeakerRyan https://t.co/zoeRvm35vb
28,2/21/18 19:17,@NewYorker #SexualPredatorInChief beginnings...#MeToo @realDonaldTrump @IvankaTrump @jaredkushner @SenatorCollins @LindseyGrahamSC @SpeakerRyan @GrassleyPress @lisamurkowski @clairecmc @SpeakerRyan https://t.co/zoeRvm35vb
29,2/21/18 19:17,@NewYorker #SexualPredatorInChief beginnings...#MeToo @realDonaldTrump @IvankaTrump @jaredkushner @SenatorCollins @LindseyGrahamSC @SpeakerRyan @GrassleyPress @lisamurkowski @clairecmc @SpeakerRyan https://t.co/zoeRvm35vb
30,2/21/18 19:17,@NewYorker #SexualPredatorInChief beginnings...#MeToo @realDonaldTrump @IvankaTrump @jaredkushner @SenatorCollins @LindseyGrahamSC @SpeakerRyan @GrassleyPress @lisamurkowski @clairecmc @SpeakerRyan https://t.co/zoeRvm35vb
31,2/21/18 19:17,@NewYorker #SexualPredatorInChief beginnings...#MeToo @realDonaldTrump @IvankaTrump @jaredkushner @SenatorCollins @LindseyGrahamSC @SpeakerRyan @GrassleyPress @lisamurkowski @clairecmc @SpeakerRyan https://t.co/zoeRvm35vb
32,2/26/18 15:55,"I will not support, endorse, or take part in any #MeToo project that doesn't properly credit, consult, &amp; somehow compensate founder @TaranaBurke. The erasure of the important work of Black women is NOT acceptable. @VenkaylaHaynes @Tinu @TananariveDue @DarlingEbony @elise_flowers"
33,2/26/18 15:55,"I will not support, endorse, or take part in any #MeToo project that doesn't properly credit, consult, &amp; somehow compensate founder @TaranaBurke. The erasure of the important work of Black women is NOT acceptable. @VenkaylaHaynes @Tinu @TananariveDue @DarlingEbony @elise_flowers"
34,2/26/18 15:55,"I will not support, endorse, or take part in any #MeToo project that doesn't properly credit, consult, &amp; somehow compensate founder @TaranaBurke. The erasure of the important work of Black women is NOT acceptable. @VenkaylaHaynes @Tinu @TananariveDue @DarlingEbony @elise_flowers"
35,2/26/18 15:55,"I will not support, endorse, or take part in any #MeToo project that doesn't properly credit, consult, &amp; somehow compensate founder @TaranaBurke. The erasure of the important work of Black women is NOT acceptable. @VenkaylaHaynes @Tinu @TananariveDue @DarlingEbony @elise_flowers"
36,2/26/18 15:55,"I will not support, endorse, or take part in any #MeToo project that doesn't properly credit, consult, &amp; somehow compensate founder @TaranaBurke. The erasure of the important work of Black women is NOT acceptable. @VenkaylaHaynes @Tinu @TananariveDue @DarlingEbony @elise_flowers"
37,2/26/18 15:58,"I will not support, endorse, or take part in any #MeToo project that doesn't properly credit, consult, &amp; somehow compensate founder @TaranaBurke. The erasure of the important work of Black women is NOT acceptable.@DMVBlackLives @_firststudents @BlackDeanMagic @softspokn1"
38,2/26/18 15:58,"I will not support, endorse, or take part in any #MeToo project that doesn't properly credit, consult, &amp; somehow compensate founder @TaranaBurke. The erasure of the important work of Black women is NOT acceptable.@DMVBlackLives @_firststudents @BlackDeanMagic @softspokn1"
39,2/26/18 15:58,"I will not support, endorse, or take part in any #MeToo project that doesn't properly credit, consult, &amp; somehow compensate founder @TaranaBurke. The erasure of the important work of Black women is NOT acceptable.@DMVBlackLives @_firststudents @BlackDeanMagic @softspokn1"
40,2/26/18 15:58,"I will not support, endorse, or take part in any #MeToo project that doesn't properly credit, consult, &amp; somehow compensate founder @TaranaBurke. The erasure of the important work of Black women is NOT acceptable.@DMVBlackLives @_firststudents @BlackDeanMagic @softspokn1"
41,2/26/18 01:03,New collection! Find resources in response to the #MeToo &amp; #MeTooK12 movements. Discover new ways to promote healthy relationships &amp; combat harassment. https://t.co/OvGYDKrAGJ #TimesUp @WithoutViolence @MorningsideCtr  @SSAISorg @ADL_Education @GLSEN_Education @AFTUnion https://t.co/b68c0oBKlT
42,2/26/18 01:03,New collection! Find resources in response to the #MeToo &amp; #MeTooK12 movements. Discover new ways to promote healthy relationships &amp; combat harassment. https://t.co/OvGYDKrAGJ #TimesUp @WithoutViolence @MorningsideCtr  @SSAISorg @ADL_Education @GLSEN_Education @AFTUnion https://t.co/b68c0oBKlT
43,2/26/18 01:03,New collection! Find resources in response to the #MeToo &amp; #MeTooK12 movements. Discover new ways to promote healthy relationships &amp; combat harassment. https://t.co/OvGYDKrAGJ #TimesUp @WithoutViolence @MorningsideCtr  @SSAISorg @ADL_Education @GLSEN_Education @AFTUnion https://t.co/b68c0oBKlT
44,2/26/18 14:10,"Review: At Geneva #HRC37, UNSG @AntonioGuterres Brags of His Work in #Myanmar, Ignores #Cameroon &amp; India #MeToo as with Global Communicator @Alison_Smale continues censorship, UN Faces Staff Strike https://t.co/tfdNBWXXHJ https://t.co/3ybLFBQRdl"
45,2/26/18 16:19,"Call for chapters. #MeToo: Survivors of sexual violence as counsellors and psychotherapists. PCCS Books (2019).  Information for potential contributors can be found here https://t.co/3iynH2mjDSPlease contact editors @socandtherapy Deborah A. Lee and @emmapalmer2018 Emma Palmer https://t.co/VpAxUogQ8c"
46,2/26/18 16:19,"Call for chapters. #MeToo: Survivors of sexual violence as counsellors and psychotherapists. PCCS Books (2019).  Information for potential contributors can be found here https://t.co/3iynH2mjDSPlease contact editors @socandtherapy Deborah A. Lee and @emmapalmer2018 Emma Palmer https://t.co/VpAxUogQ8c"
47,2/26/18 20:12,"Hey @realDonaldTrump here are some other words from Rev. Graham you should consider...https://t.co/SqluOCH0l9 on #MeToo: “Sin always involves a slippery slope of secrets that will eventually be revealed... Live a life that would please [God].” https://t.co/238uU6HvVh"
48,2/26/18 20:12,"Such a great experience with Seneca Williams. Interviewed me about Leadership, sexual harassment, sexploitation &amp; the #MeToo movement and more. Wonderful host. Thought provoking discussion. #MakeMovesMonday https://t.co/EspP3GDjhG"
49,2/26/18 20:12,RT @Wolfe321: Radio host loses job after sexual comments on teen Olympian. But anyone who complained is a “sexist crybaby.” #MeToo  https:/…
50,2/26/18 20:12,Monica Lewinsky: Emerging from “the House of Gaslight” in the Age of #MeToo https://t.co/3pEYSCLTpt
51,2/26/18 20:12,"RT @Two_Wing: #METOO _____ ___ ____…____ 2002_ 17_, _3 ____ 25___ 3_ ____ ___…__ __ ____ _____ ___ ___ ____…___ __ ____ __ ____ _____ __…"
52,2/26/18 20:12,RT @AristeguiOnline: Corea del Sur se une a campaña global #MeToo contra violencia sexual https://t.co/HUzkoen5gp https://t.co/LATUm8086t
53,2/26/18 20:12,RT @AristeguiOnline: Corea del Sur se une a campaña global #MeToo contra violencia sexual https://t.co/HUzkoen5gp https://t.co/LATUm8086t
54,2/26/18 14:43,Fideo' gan PMT (Pryd Ma Te) am gael ei chwarae ar y sioe heno #MeToo @BBCRadioCymru https://t.co/1FWEGPWwnh
55,2/26/18 20:12,RT @therealrhysmwyn: 'Fideo' gan PMT (Pryd Ma Te) am gael ei chwarae ar y sioe heno #MeToo @BBCRadioCymru https://t.co/1FWEGPWwnh
