id,tweet,date
306-30,"@supertaschablue @SaRaAshcraft @atensnut Let me guess, you'll believe a random women who accuses a Republican of assault, but this is false? What happened to. #MeToo or is that only for women who have the same ideology as you?",3/6/2018 18:02
306-31,Excited to be meeting with the @DailySundial today to do a photo shoot and talk about #MeToo and how it has personally affected me. Never be afraid to speak up!! ????,3/6/2018 18:02
306-32,"RT @NTKNet: Chelsea Clinton says she supports #MeToo but won't return the $250,000 in donations that Harvey Weinstein gave the Clinton Foun…",3/6/2018 18:02
306-33,"RT @JamieWalton: The next step for the #MeToo   movement is to encourage and facilitate easily accessible mental health services.

The numb…",3/6/2018 18:02
306-34,Netflix is releasing the new season of Jessica Jones on international women's day. What a happy coincidence in the age of #MeToo....,3/6/2018 18:02
306-35,"RT @mbcnews: ??? ??? ?? ?????? ?? ???,
? ?? ?? ??? ??? ????? ?????? ??? ?????.
#???_?? #metoo 

?????? https://t.co/xUSF0JrPHF https://t.co…",3/6/2018 18:02
306-36,En Corea del Sur también arrecian las denuncias por abusos sexuales y el movimiento #MeToo. Una actriz aseguró en TV haber ser violada por el director Kim Ki-duk (que tiene varias otras acusaciones en su contra) y por el actor Cho Jae-hyun. https://t.co/MYOTdTEBTz,3/6/2018 17:44
306-37,RT @dmbatlle: En Corea del Sur también arrecian las denuncias por abusos sexuales y el movimiento #MeToo. Una actriz aseguró en TV haber se…,3/6/2018 18:02
306-38,The best way to fight sex trafficking is to legalize prostitution https://t.co/AlyHQbdgsq via @nypost #SexTrafficking #Resist #MeToo,3/6/2018 18:02
306-39,"I ask again: why is there virtual silence from international feminism, human rights liberals, #MeToo campaigners et al over the brute incarceration of this young girl, in a cold cell, openly threatened with rape and murder? #FreeAhedTamimi #Palestine #Jerusalem #AlQuds https://t.co/S2EjrdZyFi",1/19/2018 12:04
306-40,"RT @georgegalloway: I ask again: why is there virtual silence from international feminism, human rights liberals, #MeToo campaigners et al…",3/6/2018 18:02
306-41,"Quando sair um #MeToo sobre um idol, ai a galera finalmente vai dar atenção a onda de denúncias que tá acontecendo na Coreia",3/6/2018 11:59
306-42,"RT @BoNNyDie: Quando sair um #MeToo sobre um idol, ai a galera finalmente vai dar atenção a onda de denúncias que tá acontecendo na Coreia",3/6/2018 18:02
306-43,"RT @AJEnglish: Ahead of #InternationalWomensDay, we ask: Do you think the #MeToo movement added more significance to the day? 

Send us a v…",3/6/2018 18:02
306-44,The latest News RoundUp! https://t.co/pSW7enWwBb #metoo,3/6/2018 18:03
306-45,"RT @ImperatorTruth: Steemit Exclusive Interview with Sex Columnist Jasmine Lobe about #metoo, her experiences with Harvey Weinstein &amp; James…",3/6/2018 18:03
306-46,My latest on Kobe Bryant’s #oscar win and how it highlights the need for the #MeToo  and #TimesUp  movement... https://t.co/qnrr7JDBfz,3/6/2018 18:03
306-47,"RT @pahubb43: HEY #METOO MOVEMENT!

100 Nigerian school girls are missing and, likely sold into a sex slavery. You made it YOUR crusade to…",3/6/2018 18:03
306-48,Watch These Hollywood Actresses Play Guess Who: #MeToo Edition https://t.co/NKKOXrQm9A #timesup #oscars https://t.co/FonTLfPmP6,3/6/2018 18:00
306-49,RT @evry2min: Watch These Hollywood Actresses Play Guess Who: #MeToo Edition https://t.co/NKKOXrQm9A #timesup #oscars https://t.co/FonTLfPm…,3/6/2018 18:03
306-50,"Check out our chapter President's latest newsletter column.

The ""#MeToo"" movement spread virally in October 2017... https://t.co/pYObWPIxp9",3/6/2018 18:03
306-51,"When will #Trump and #RoyMoore be held accountable? 

Glad I’m Not an #Alabama Abuse Victim | Chris Oldcorn on Patreon

#TimesUp #MeToo #sexualharassment #alpolitics #USPolitics 
 https://t.co/Wz68cyQ7N0",3/6/2018 18:03
306-52,@washingtonpost In the #MeToo era maybe we should stop judging women on how they choose to thrive in life. We women have a responsibility to come together and empower other women and not judge them. #Justathought #MissAStrong,3/6/2018 14:39
306-53,RT @MissAmericaMO: @washingtonpost In the #MeToo era maybe we should stop judging women on how they choose to thrive in life. We women have…,3/6/2018 18:03
306-54,RT @MissAmericaMO: @washingtonpost In the #MeToo era maybe we should stop judging women on how they choose to thrive in life. We women have…,3/6/2018 18:03
306-55,"So, another affair-at-the-cemetery comes to an end (EWWW!) but, thankfully - in a singular sign of progress for the #MeToo era - without the ritual playing of ""Code Blue"" by T.S.O.L.

Other cadaver-appreciative songs considered.
https://t.co/7bTjBPZzPZ via https://t.co/djTwW9cOaC",3/6/2018 18:03
306-56,"RT @ImperatorTruth: Steemit Exclusive Interview with Sex Columnist Jasmine Lobe about #metoo, her experiences with Harvey Weinstein &amp; James…",3/6/2018 18:03
306-57,Unsere Sendung über synthetische Drogen (#Reportage in Deutschland) und das Gesetz in #Schweden nach der #metoo Debatte ist Online zu genießen ?? https://t.co/CjfbwZDfqG @ARTEde https://t.co/ESiw4pCVUV,3/6/2018 18:03
306-58,"RT @pahubb43: HEY #METOO MOVEMENT!

100 Nigerian school girls are missing and, likely sold into a sex slavery. You made it YOUR crusade to…",3/6/2018 18:03
306-59,RT @washizaemon: ???????????? #MeToo ??????????????????????????? ??????????????????????????????????????????????????? ??????????????????????…,3/6/2018 18:03
306-60,RT @FlyoverUSofA: Interesting that @jimmykimmel stands with #MeToo Did we forget him on the Howard Stern Show years ago when he judged men…,3/6/2018 18:03
306-61,RT @FlyoverUSofA: Interesting that @jimmykimmel stands with #MeToo Did we forget him on the Howard Stern Show years ago when he judged men…,3/6/2018 18:03
306-62,"RT @RachelintheOC: This is Why Sexual Abuse Survivors DO Tell https://t.co/2DU4t7Bb5A #SexualAbuse #CSA #MeToo

Listen to survivors and all…",3/6/2018 18:03
306-63,Listening to voices from the #MeToo movement at the Feminist Forum 2018 in Brussels @marthadear + @MalinBjork_EU Alla Lattner + Popy Melliou + Maja Stasko #FemForum #europeanparliament #feminism #WomensRights #FierceWomen https://t.co/6nNIvseYyJ,3/6/2018 18:03
306-64,Listening to voices from the #MeToo movement at the Feminist Forum 2018 in Brussels @marthadear + @MalinBjork_EU Alla Lattner + Popy Melliou + Maja Stasko #FemForum #europeanparliament #feminism #WomensRights #FierceWomen https://t.co/6nNIvseYyJ,3/6/2018 18:03
306-65,RT @KZQv5DbL6inXblo: ? ?? ??? ?? ??? ?? ??? ??? ????. ??? ?? ??? ?? ??? ???? ?? ??? ??? ??? ??? ???. #metoo,3/6/2018 18:03
306-66,RT @kscopehealth: What would a version of #MeToo look like for bullying in the NHS? Read @RichardTaunt's reflections on the @NuffieldTrust…,3/6/2018 18:03
306-67,RT @kscopehealth: What would a version of #MeToo look like for bullying in the NHS? Read @RichardTaunt's reflections on the @NuffieldTrust…,3/6/2018 18:03
306-68,RT @kscopehealth: What would a version of #MeToo look like for bullying in the NHS? Read @RichardTaunt's reflections on the @NuffieldTrust…,3/6/2018 18:03
306-69,"15 is still too young. 

But fact there are men in a 1st-world nation like France, in 2018, who think sex w/an 11-yr old girl can be, in any way shape or form, consensual, is beyond horrific.

Then again, Trump and GOP did endorse a child molester, didn’t they.

#MeToo
#TIMESUP https://t.co/zPC5F4TEuZ",3/6/2018 18:03
306-70,RT @washizaemon: ???????????? #MeToo ??????????????????????????? ??????????????????????????????????????????????????? ??????????????????????…,3/6/2018 18:04
306-71,Cosby lawyers cite #MeToo in move to block 19 accusers from trial https://t.co/S77akm5r61 https://t.co/jCsrDUBQZj,3/6/2018 18:04
306-72,RT @RaulOrozco: #AM2DM #AMJoy #MorningJoe #MeToo #timesup #BestFanArmy #FF #NP  #NowPlaying #PMJoy #BreakingNews #NeverAgain #HardestThings…,3/6/2018 18:04
306-73,“Sexual harassment is not just an HR issue it is a #leadership issue. It must be clear that this behaviour can not be tolerated.” - @lisakimmel #preach @CdnClubTO #MeToo #leaders,3/6/2018 18:04
306-74,“Sexual harassment is not just an HR issue it is a #leadership issue. It must be clear that this behaviour can not be tolerated.” - @lisakimmel #preach @CdnClubTO #MeToo #leaders,3/6/2018 18:04
306-75,"Dear Grand Rapids, A revolution is coming. You’ve been warned. Sincerely, The Matriarchy #UGGR #LeanIn #RepProject #MeToo #TimesUp #SquadGoals https://t.co/NYqBXIOUBN",3/6/2018 18:04
306-76,RT @washizaemon: ??????????????? #MeToo ????????????????????????????? ???????????????????????????????????? ????????????????????????????????…,3/6/2018 18:04
306-77,"Le mouvement #MeToo a permis de libérer la parole des femmes dans plusieurs industries comme le cinéma ou la politique mais il peine encore à atteindre des secteurs moins médiatisés comme la construction et le monde ouvrier, même si l'espoir est là https://t.co/TnkALZwW8W #AFP",3/6/2018 15:01
