,,Visual Properties,,,,,Labels,,,Graph Metrics,Do Not Edit,,Other Columns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertex 1,Vertex 2,Color,Width,Style,Opacity,Visibility,Label,Label Text Color,Label Font Size,Reciprocated?,ID,Dynamic Filter,Add Your Own Columns Here,Relationship,Relationship Date (UTC),Tweet,URLs in Tweet,Domains in Tweet,Hashtags in Tweet,Media in Tweet,Tweet Image File,Tweet Date (UTC),Twitter Page for Tweet,Latitude,Longitude,Imported ID,In-Reply-To Tweet ID,Favorited,Favorite Count,In-Reply-To User ID,Is Quote Status,Language,Possibly Sensitive,Quoted Status ID,Retweeted,Retweet Count,Retweet ID,Source,Truncated,Unified Twitter ID,Imported Tweet Type,Added By Extended Analysis,Corrected By Extended Analysis,Place Bounding Box,Place Country,Place Country Code,Place Full Name,Place ID,Place Name,Place Type,Place URL
exoduscry,benjaminnolot,,,,,,,,,,,,,Mentions,3/8/18 20:42,"""Women are intellectual, emotional, spiritual, creative, athletic, familial, political, caring, compassionate, relational, &amp; strong... Celebrate women, don’t consume them."" @BenjaminNolot | Happy International Women's Day! #HerStoryOurStory #IWD2018 #PressforProgress #MeToo https://t.co/28LDH6hjAD",,,herstoryourstory iwd2018 pressforprogress metoo,https://pbs.twimg.com/media/DXyzLSbWkAIHUMt.jpg,https://pbs.twimg.com/media/DXyzLSbWkAIHUMt.jpg,3/8/18 20:42,https://twitter.com/#!/exoduscry/status/971848629567852544,,,971848629567852544,,FALSE,11,,FALSE,en,,,FALSE,10,,Postso.com,FALSE,971848629567852544,Retweet,0,0,,,,,,,,
egregiousknave,financialtimes,,,,,,,,,,,,,Mentions,3/8/18 17:30,".@GretchenCarlson’s lawsuit against Roger Ailes lead to revelations that @FoxNews paid millions to women abused by Bill O’Reilly, which lead to his ouster, which then emboldened others to come forward and thus began the #MeToo movement https://t.co/5rhWj8pylG via @financialtimes",https://www.ft.com/content/3aff8560-0bcc-11e8-bacb-2958fde95e5e,ft.com,metoo,,http://pbs.twimg.com/profile_images/536196415408467968/3NV4k9Cz_normal.jpeg,3/8/18 17:30,https://twitter.com/#!/egregiousknave/status/971800232152444928,,,971800232152444928,,FALSE,13,,FALSE,en,,,FALSE,10,,Twitter Web Client,FALSE,971800232152444928,Retweet,0,0,,,,,,,,
labsactivate,monicacurcapax,,,,,,,,,,,,,Mentions,3/8/18 22:48,"Can you hear us now? Whatever the movement - #metoo, #FreePalestine #EndPoliceBrutality #Parkland #BlacklivesMatter. Women have been leading. Its time to listen! #InternationalWomensDay2018 #IWD2018 @crzeladi @MuslimARC @LEAN4CHANGE @TaranaBurke @monicacurcapax https://t.co/pbQIg1SsYb",,,metoo freepalestine endpolicebrutality parkland blacklivesmatter internationalwomensday2018 iwd2018,https://pbs.twimg.com/media/DXzQHKEUMAA5K9y.jpg,https://pbs.twimg.com/media/DXzQHKEUMAA5K9y.jpg,3/8/18 22:48,https://twitter.com/#!/labsactivate/status/971880447675285505,,,971880447675285505,,FALSE,11,,FALSE,en,,,FALSE,8,,Twitter for iPhone,FALSE,971880447675285505,Retweet,0,0,,,,,,,,
labsactivate,lean4change,,,,,,,,,,,,,Mentions,3/8/18 22:48,"Can you hear us now? Whatever the movement - #metoo, #FreePalestine #EndPoliceBrutality #Parkland #BlacklivesMatter. Women have been leading. Its time to listen! #InternationalWomensDay2018 #IWD2018 @crzeladi @MuslimARC @LEAN4CHANGE @TaranaBurke @monicacurcapax https://t.co/pbQIg1SsYb",,,metoo freepalestine endpolicebrutality parkland blacklivesmatter internationalwomensday2018 iwd2018,https://pbs.twimg.com/media/DXzQHKEUMAA5K9y.jpg,https://pbs.twimg.com/media/DXzQHKEUMAA5K9y.jpg,3/8/18 22:48,https://twitter.com/#!/labsactivate/status/971880447675285505,,,971880447675285505,,FALSE,11,,FALSE,en,,,FALSE,8,,Twitter for iPhone,FALSE,971880447675285505,Retweet,0,0,,,,,,,,
labsactivate,muslimarc,,,,,,,,,,,,,Mentions,3/8/18 22:48,"Can you hear us now? Whatever the movement - #metoo, #FreePalestine #EndPoliceBrutality #Parkland #BlacklivesMatter. Women have been leading. Its time to listen! #InternationalWomensDay2018 #IWD2018 @crzeladi @MuslimARC @LEAN4CHANGE @TaranaBurke @monicacurcapax https://t.co/pbQIg1SsYb",,,metoo freepalestine endpolicebrutality parkland blacklivesmatter internationalwomensday2018 iwd2018,https://pbs.twimg.com/media/DXzQHKEUMAA5K9y.jpg,https://pbs.twimg.com/media/DXzQHKEUMAA5K9y.jpg,3/8/18 22:48,https://twitter.com/#!/labsactivate/status/971880447675285505,,,971880447675285505,,FALSE,11,,FALSE,en,,,FALSE,8,,Twitter for iPhone,FALSE,971880447675285505,Retweet,0,0,,,,,,,,
docrocktex26,ricksmithshow,,,,,,,,,,,,,Mentions,11/26/17 21:29,Propane Jane discusses the #MeToo Movement and how institutionalized misogyny and patriarchy won’t be dismantled until women take revenge at the ballot box via @RickSmithShow https://t.co/FHYk1D5Ckg,http://www.podbean.com/media/share/pb-9ue2i-7ca2dd,podbean.com,metoo,,http://pbs.twimg.com/profile_images/792431540143697922/VrNOi_FD_normal.jpg,11/26/17 21:29,https://twitter.com/#!/docrocktex26/status/934896818302922753,,,934896818302922753,933745770905374721,FALSE,448,16582131,FALSE,en,,,FALSE,195,,Twitter for iPhone,FALSE,933745770905374721,Retweet,0,0,,,,,,,,
wolfe321,foreignpolicy,,,,,,,,,,,,,Mentions,3/8/18 18:44,How much did she drink? Were you attracted to her? Was she emotional? These are a few of the crazy sexist comments that marred a botched investigation of sexual assault at the UN. My new report in @ForeignPolicy #internationalwomensday2018 #MeToo https://t.co/aWGGA6e8g2,http://foreignpolicy.com/2018/03/08/how-u-n-sexual-assault-investigations-die-in-darkness/,foreignpolicy.com,internationalwomensday2018 metoo,,http://pbs.twimg.com/profile_images/962757305484890112/oSYapGG9_normal.jpg,3/8/18 18:44,https://twitter.com/#!/wolfe321/status/971818857768869888,,,971818857768869888,,FALSE,31,,FALSE,en,,,FALSE,32,,Twitter Web Client,FALSE,971818857768869888,Retweet,0,0,,,,,,,,
marylschmidt,newappleawards,,,,,,,,,,,,,Mentions,3/8/18 14:19,"#ChildhoodCancer is the most pernicious of diseases. One woman/one child. Inspiring! https://t.co/eRp4ZPbShD #memoir #RRBC #boostmybook @readersfavorite @amazon #Love #God #Jesus #inspiring #parenting @NewAppleAwards #cancer #IARTG #MeToo #PTSD https://t.co/dhEBQiKi17",https://www.amazon.com/When-Angels-Fly-S-Jackson-ebook/dp/B017UNVWDI/ref=tmm_kin_swatch_0?_encoding=UTF8&qid=1447021901&sr=1-2,amazon.com,childhoodcancer memoir rrbc boostmybook love god jesus inspiring parenting cancer iartg metoo ptsd,https://pbs.twimg.com/media/DXxbfwdU8AA-cpM.jpg,https://pbs.twimg.com/media/DXxbfwdU8AA-cpM.jpg,3/8/18 14:19,https://twitter.com/#!/marylschmidt/status/971752231979618304,,,971752231979618304,,FALSE,20,,FALSE,en,,,FALSE,35,,Twitter Web Client,FALSE,971752231979618304,Retweet,0,0,,,,,,,,
marylschmidt,amazon,,,,,,,,,,,,,Mentions,3/8/18 14:19,"#ChildhoodCancer is the most pernicious of diseases. One woman/one child. Inspiring! https://t.co/eRp4ZPbShD #memoir #RRBC #boostmybook @readersfavorite @amazon #Love #God #Jesus #inspiring #parenting @NewAppleAwards #cancer #IARTG #MeToo #PTSD https://t.co/dhEBQiKi17",https://www.amazon.com/When-Angels-Fly-S-Jackson-ebook/dp/B017UNVWDI/ref=tmm_kin_swatch_0?_encoding=UTF8&qid=1447021901&sr=1-2,amazon.com,childhoodcancer memoir rrbc boostmybook love god jesus inspiring parenting cancer iartg metoo ptsd,https://pbs.twimg.com/media/DXxbfwdU8AA-cpM.jpg,https://pbs.twimg.com/media/DXxbfwdU8AA-cpM.jpg,3/8/18 14:19,https://twitter.com/#!/marylschmidt/status/971752231979618304,,,971752231979618304,,FALSE,20,,FALSE,en,,,FALSE,35,,Twitter Web Client,FALSE,971752231979618304,Retweet,0,0,,,,,,,,
marylschmidt,readersfavorite,,,,,,,,,,,,,Mentions,3/8/18 14:19,"#ChildhoodCancer is the most pernicious of diseases. One woman/one child. Inspiring! https://t.co/eRp4ZPbShD #memoir #RRBC #boostmybook @readersfavorite @amazon #Love #God #Jesus #inspiring #parenting @NewAppleAwards #cancer #IARTG #MeToo #PTSD https://t.co/dhEBQiKi17",https://www.amazon.com/When-Angels-Fly-S-Jackson-ebook/dp/B017UNVWDI/ref=tmm_kin_swatch_0?_encoding=UTF8&qid=1447021901&sr=1-2,amazon.com,childhoodcancer memoir rrbc boostmybook love god jesus inspiring parenting cancer iartg metoo ptsd,https://pbs.twimg.com/media/DXxbfwdU8AA-cpM.jpg,https://pbs.twimg.com/media/DXxbfwdU8AA-cpM.jpg,3/8/18 14:19,https://twitter.com/#!/marylschmidt/status/971752231979618304,,,971752231979618304,,FALSE,20,,FALSE,en,,,FALSE,35,,Twitter Web Client,FALSE,971752231979618304,Retweet,0,0,,,,,,,,
