id,tokens,tweet
27,"['#AltonSterling', 'Stephon', 'Clark', 'Tamir', 'Rice', 'Trayvon', 'Martin', 'Philando', 'Castille', 'Eric', 'Garner', 'Michael', 'Brown', 'Terence', 'Crutcher']",#AltonSterling Stephon Clark Tamir Rice Trayvon Martin Philando Castille Eric Garner Michael Brown Terence Crutcher
28,"['#AltonSterling', 'Stephon', 'Clark', 'Tamir', 'Rice', 'Trayvon', 'Martin', 'Philando', 'Castille', 'Eric', 'Garner', 'Michael', 'Brown', 'Terence', 'Crutcher']",#AltonSterling Stephon Clark Tamir Rice Trayvon Martin Philando Castille Eric Garner Michael Brown Terence Crutcher
29,"['#AltonSterling', 'Stephon', 'Clark', 'Tamir', 'Rice', 'Trayvon', 'Martin', 'Philando', 'Castille', 'Eric', 'Garner', 'Michael', 'Brown', 'Terence', 'Crutcher']",#AltonSterling Stephon Clark Tamir Rice Trayvon Martin Philando Castille Eric Garner Michael Brown Terence Crutcher
30,"['These', 'egregious', 'reminders', 'repeated', 'injustice', 'lack', 'police', 'accountability', '#AltonSterling', 'latest', 'victim']",These are egregious reminders of repeated injustice and lack of police accountability. #AltonSterling is the latest victim
31,"['I', 'asked', 'comment', 'leadership', 'deaths', '#AltonSterling', '#EricGarner', '#StephonClark']",I asked for comment and leadership on deaths of #AltonSterling #EricGarner #StephonClark
32,"['#AltonSterling', 'Stephon', 'Clark', 'Tamir', 'Rice', 'Trayvon', 'Martin', 'Philando', 'Castille', 'Eric', 'Garner', 'Michael', 'Brown', 'Terence', 'Crutcher']",#AltonSterling Stephon Clark Tamir Rice Trayvon Martin Philando Castille Eric Garner Michael Brown Terence Crutcher
33,"['Once', 'Im', 'taking', 'knee', 'protest', 'cold-blooded', 'murders', 'Stephon', 'Clark', 'Philando', 'Castile', 'Eric', 'Garner', 'Michael', 'Bro']","Once again Im taking a knee to protest the cold-blooded murders of Stephon Clark, Philando Castile, Eric Garner, Michael Bro"
34,"[""I'll"", 'kill', 'bitch', 'Words', 'Alton', 'Sterling', 'heard', 'murdered', 'police', 'officer', 'He', 'victim']","I'll kill you, bitch. Words Alton Sterling heard just before he was murdered by a police officer. He was a victim of"
35,"['I', 'asked', 'comment', 'leadership', 'deaths', '#AltonSterling', '#EricGarner', '#StephonClark']",I asked for comment and leadership on deaths of #AltonSterling #EricGarner #StephonClark
36,"['#AltonSterling', 'Stephon', 'Clark', 'Tamir', 'Rice', 'Trayvon', 'Martin', 'Philando', 'Castille', 'Eric', 'Garner', 'Michael', 'Brown', 'Terence', 'Crutcher']",#AltonSterling Stephon Clark Tamir Rice Trayvon Martin Philando Castille Eric Garner Michael Brown Terence Crutcher
