"","topic","term","beta"
"144",6,"lie",0.000229917951233816
"145",1,"march",0.0651382892412928
"146",2,"march",0.022038952694734
"147",3,"march",0.0025700950089733
"148",4,"march",0.000955228568509819
"149",5,"march",0.00413561883138825
"150",6,"march",0.00466115636533894
"151",1,"17",0.000792808721356243
"152",2,"17",0.00166511191674792
"153",3,"17",0.00243344813279244
"154",4,"17",0.000511405935720616
"155",5,"17",0.0024616620632378
"156",6,"17",0.00109147944264171
"157",1,"talk",0.000613678441423275
"158",2,"talk",0.000160711449444929
"159",3,"talk",0.000415431693327112
"160",4,"talk",0.00128852372521722
"161",5,"talk",0.000614387754132725
"162",6,"talk",0.000677314920068202
"163",1,"boycottamazon",0.000123428710298051
"164",2,"boycottamazon",0.000226328577358024
"165",3,"boycottamazon",0.000505662586731016
"166",4,"boycottamazon",0.000273217457762142
"167",5,"boycottamazon",0.000218135814483377
"168",6,"boycottamazon",0.000359177776984637
"169",1,"days",0.000587007601718986
"170",2,"days",0.000139532358991046
"171",3,"days",0.000745268129192446
"172",4,"days",0.00128982915550075
"173",5,"days",0.000101650027827529
"174",6,"days",0.00112144231077194
"175",1,"stop",0.00138662546435806
"176",2,"stop",0.000263549294965764
"177",3,"stop",0.00171723747770554
"178",4,"stop",0.0021646186642875
"179",5,"stop",0.00263726821708221
"180",6,"stop",0.000347727584797888
"181",1,"wevoteoutgop",1.14386084320704e-05
"182",2,"wevoteoutgop",0.000102286337842758
"183",3,"wevoteoutgop",0.000215231453816242
"184",4,"wevoteoutgop",1.86925109540283e-05
"185",5,"wevoteoutgop",0.000105994696920133
"186",6,"wevoteoutgop",0.000200893784150826
"187",1,"voteblue2018",0.000272437783302254
"188",2,"voteblue2018",6.54240876434046e-06
"189",3,"voteblue2018",0.000164017025032368
"190",4,"voteblue2018",2.37743736840653e-05
"191",5,"voteblue2018",8.42603531022903e-05
"192",6,"voteblue2018",0.000183089773210153
"193",1,"money",0.00175695017484428
"194",2,"money",0.000178918153237875
"195",3,"money",8.08826550553694e-06
"196",4,"money",0.00254810564273551
"197",5,"money",0.0010175741061058
"198",6,"money",0.00161515075481875
"199",1,"gunsdowngradesup",0.000158016010284716
"200",2,"gunsdowngradesup",0.000338234812787616
"201",3,"gunsdowngradesup",0.000223150081120306
"202",4,"gunsdowngradesup",1.21794583330004e-05
"203",5,"gunsdowngradesup",0.00010442175010673
"204",6,"gunsdowngradesup",3.8541026380321e-05
"205",1,"arming",5.40114527460611e-05
"206",2,"arming",0.000269051356263945
"207",3,"arming",0.000363251355901686
"208",4,"arming",0.000365806202987753
"209",5,"arming",0.000238782230103531
"210",6,"arming",0.000375727533575362
"211",1,"teachers",0.000753967731088614
"212",2,"teachers",0.00346519962917378
"213",3,"teachers",0.000768131430661288
"214",4,"teachers",0.00443994653196529
"215",5,"teachers",0.000138922254440223
"216",6,"teachers",0.0031175004853123
"217",1,"cork",2.7292287845177e-06
"218",2,"cork",3.02834282296229e-05
"219",3,"cork",3.50206516731827e-05
"220",4,"cork",4.94198499528289e-07
"221",5,"cork",1.07215637340356e-05
"222",6,"cork",2.02209358945592e-07
"223",1,"care",0.000810835172981211
"224",2,"care",0.000149677619239284
"225",3,"care",0.000194023130590479
"226",4,"care",0.000371038607049196
"227",5,"care",0.000540336923388346
"228",6,"care",0.000673843296289173
"229",1,"de",9.26845836277631e-06
"230",2,"de",5.18200093218461e-06
"231",3,"de",3.87743358879807e-05
"232",4,"de",0.000241300287969719
"233",5,"de",4.90590939849637e-06
"234",6,"de",5.73442634285296e-05
"235",1,"fl",0.00297083990950417
"236",2,"fl",0.000318812081121103
"237",3,"fl",0.00180702382595658
"238",4,"fl",0.00125155975875067
"239",5,"fl",0.00179903491409409
"240",6,"fl",0.00112351703049725
"241",1,"fireivanka",2.53865777517068e-06
"242",2,"fireivanka",1.21079555239035e-06
"243",3,"fireivanka",2.62875759378072e-06
"244",4,"fireivanka",4.51526750827226e-05
"245",5,"fireivanka",1.3342455868892e-06
"246",6,"fireivanka",6.61540166224783e-06
"247",1,"firekushner",2.3104477029272e-06
"248",2,"firekushner",1.99311952055844e-05
"249",3,"firekushner",1.75804329027001e-07
"250",4,"firekushner",2.2157187378243e-05
"251",5,"firekushner",1.84374246025338e-05
"252",6,"firekushner",5.60378983367011e-05
"253",1,"videogames",5.55951841988413e-05
"254",2,"videogames",3.75081479264635e-05
"255",3,"videogames",7.82238011125709e-06
"256",4,"videogames",0.00012440750009101
"257",5,"videogames",3.83623495074605e-05
"258",6,"videogames",3.41292719670966e-05
"259",1,"3",0.000533543514511088
"260",2,"3",0.00288349572971677
"261",3,"3",0.0024315141018355
