"id","tweet","date","screenName","retweetCount","isRetweet","retweeted","favoriteCount"
32,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcher…",2018-03-28 23:22:03,"afrosandmelanin",29552,TRUE,FALSE,0
33,"RT @eugenegu: Once again I’m taking a knee to protest the cold-blooded murders of Stephon Clark, Philando Castile, Eric Garner, Michael Bro…",2018-03-28 23:22:03,"VelekeRick",2185,TRUE,FALSE,0
34,"RT @HelenBrosnan: ""I'll kill you, bitch."" 

Words Alton Sterling heard just before he was murdered by a police officer. He was a victim of…",2018-03-28 23:22:02,"bellafea71",4728,TRUE,FALSE,0
35,"RT @AprilDRyan: I asked @PressSec for @POTUS @realDonaldTrump comment and leadership on deaths of #AltonSterling #EricGarner #StephonClark…",2018-03-28 23:22:01,"beam4boys",709,TRUE,FALSE,0
36,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcher…",2018-03-28 23:21:58,"AngelaG72252010",29552,TRUE,FALSE,0
37,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcher…",2018-03-28 23:21:56,"__Shaila",29552,TRUE,FALSE,0
38,"RT @common: #AltonSterling and his family look so happy and beautiful here. Looking at this photo after today’s news is heartbreaking. http…",2018-03-28 23:21:47,"SuNrIpEnEdFrUiT",385,TRUE,FALSE,0
39,"RT @shannonrwatts: There are only FOUR attorney generals of color in America (IN, CA, NM, DC). But 31 AG seats are in play in 2018 via elec…",2018-03-28 23:21:40,"AngelaG72252010",2991,TRUE,FALSE,0
40,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcher…",2018-03-28 23:21:36,"Ashdes21Ashley",29552,TRUE,FALSE,0
41,"RT @samswey: Baton Rouge Metro Council has voted against many reforms since #AltonSterling’s death. The council districts are designed to k…",2018-03-28 23:21:34,"naimareig",395,TRUE,FALSE,0
42,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcher…",2018-03-28 23:21:30,"kalikickbacks",29552,TRUE,FALSE,0
43,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcher…",2018-03-28 23:21:28,"stefneifeld",29552,TRUE,FALSE,0
44,"RT @jleefilm: Lol. Remember when y'all were like, ""cameras will stop cops killing so many Black folks."" ������������������. #AltonSterling #NoChargesFiled",2018-03-28 23:21:27,"timdaish",14,TRUE,FALSE,0
45,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcher…",2018-03-28 23:21:26,"oyvey_shelby",29552,TRUE,FALSE,0
46,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcher…",2018-03-28 23:21:23,"niladun",29552,TRUE,FALSE,0
47,"RT @RoKhanna: When we talk about ending gun violence we must also talk about ending the police violence which has taken #AltonSterling, #St…",2018-03-28 23:21:13,"byjillyp",366,TRUE,FALSE,0
48,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcher…",2018-03-28 23:21:12,"Kay_ontherocks_",29552,TRUE,FALSE,0
49,"RT @shannonrwatts: Thank you to all of the Louisiana @MomsDemand volunteers who met with legislators today in Baton Rouge to ask them to re…",2018-03-28 23:21:11,"livegreenordie",70,TRUE,FALSE,0
50,"RT @ZerlinaMaxwell: Now do ya'll understand why @Kaepernick7 takes a knee?

#AltonSterling",2018-03-28 23:21:07,"DasEarlGray",4018,TRUE,FALSE,0
51,"RT @HelenBrosnan: ""I'll kill you, bitch."" 

Words Alton Sterling heard just before he was murdered by a police officer. He was a victim of…",2018-03-28 23:21:05,"snuggles0711",4728,TRUE,FALSE,0
52,"RT @lynnv378: #StephonClark had a cell phone.
#TamirRice had a toy gun
#WalterScott was running away
#SandraBland had a broken tail light
#…",2018-03-28 23:21:03,"jayabatra",1958,TRUE,FALSE,0
53,"RT @blackvoices: These are egregious reminders of repeated injustice and lack of police accountability. #AltonSterling is the latest victim…",2018-03-28 23:20:58,"reverse_merman",3869,TRUE,FALSE,0
54,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcher…",2018-03-28 23:20:56,"Jessanothaday_",29552,TRUE,FALSE,0
55,"RT @ChuckModi1: Before he kneeled Kaepernick called #AltonSterling a lynching. He also stated: “There are bodies in street, ppl getting pai…",2018-03-28 23:20:55,"DasEarlGray",1029,TRUE,FALSE,0
56,"So #AltonSterling killers are getting no charges but #OfficerNoor is charged, what happened to #BlueLivesMatter",2018-03-28 23:20:53,"BostonKL",0,FALSE,FALSE,0
57,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcher…",2018-03-28 23:20:48,"goldinglewis6",29552,TRUE,FALSE,0
58,"RT @eugenegu: Once again I’m taking a knee to protest the cold-blooded murders of Stephon Clark, Philando Castile, Eric Garner, Michael Bro…",2018-03-28 23:20:44,"code_name_v",2185,TRUE,FALSE,0
59,"RT @CharlesMBlow: Let me say this again: Officers rarely get charged with the killings of blk folks in this country - and even more rarely…",2018-03-28 23:20:42,"RobinStroup",7349,TRUE,FALSE,0
60,"RT @RadioFreeKJLH: This morning on #FrontPage now w/ #DominiqueDiprima Civil Rights Attorney Caree Harper on #AltonSterling #StephonClark #…",2018-03-28 23:20:41,"keelee231",2,TRUE,FALSE,0
61,"These are egregious reminders of repeated injustice and lack of police accountability. #AltonSterling is the latest… https://t.co/YAiXIT6ssj",2018-03-28 23:20:40,"jaredmarinlopez",0,FALSE,FALSE,0
62,"RT @MyDaughtersArmy: Jane Elliott: ""If you, as a white person, would be happy to receive the same treatment as our black citizens do in thi…",2018-03-28 23:20:39,"annedillon9",2123,TRUE,FALSE,0
63,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcher…",2018-03-28 23:20:39,"MTBamford",29552,TRUE,FALSE,0
64,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcher…",2018-03-28 23:20:35,"saminthestripes",29552,TRUE,FALSE,0
65,"RT @Sams1stDaughter: No, #TraitorTot, this isn't just a local issue. It is a DISGUSTING NATIONAL SHAME. These are people YOU are responsibl…",2018-03-28 23:20:30,"george98414198",48,TRUE,FALSE,0
