"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @charpig: Columbus Marcher. Favorite Sign #NeverAgain   #BlueWave2018 https://t.co/71UdOBT6oo",FALSE,0,NA,2018-03-27 12:32:26,FALSE,NA,"978610696446447617",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Wrecksdart",5174,TRUE,FALSE,NA,NA
"RT @coton_luver: @dherman001 @glennbeck @noprezzie2012 @DLoesch Emma Gonzalez did NOT tear up a copy of the Constitution. Below is the orig…",FALSE,0,NA,2018-03-27 12:32:22,FALSE,NA,"978610678213824512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AppleCiderRadio",73,TRUE,FALSE,NA,NA
"RT @RepSwalwell: Nothing outrages me more than hearing the NRA attacking high schoolers. Then it occurred to me: the NRA is attacking these…",FALSE,0,NA,2018-03-27 12:32:19,FALSE,NA,"978610665995866112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zacpod",4840,TRUE,FALSE,NA,NA
"RT @Ambalander: #paulbiya: #Cameroon's ""absentee president""

@PresidentialFoo L
@FouPresidentiel
@PR_PaulBiya

#EndGenocide in #SouthernCam…",FALSE,0,NA,2018-03-27 12:32:18,FALSE,NA,"978610663789682688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PresidentialFoo",2,TRUE,FALSE,NA,NA
"RT @RepSwalwell: Nothing outrages me more than hearing the NRA attacking high schoolers. Then it occurred to me: the NRA is attacking these…",FALSE,0,NA,2018-03-27 12:32:17,FALSE,NA,"978610659624701952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FallonFalsmr95",4840,TRUE,FALSE,NA,NA
"RT @RepSwalwell: Nothing outrages me more than hearing the NRA attacking high schoolers. Then it occurred to me: the NRA is attacking these…",FALSE,0,NA,2018-03-27 12:32:17,FALSE,NA,"978610659419131905",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","salthejust",4840,TRUE,FALSE,NA,NA
"RT @Goss30Goss: Why is there still a debate? Even the alt rt crazies who watch Faux want #CommonSenseGunLaws . Let's get this shit done.

#…",FALSE,0,NA,2018-03-27 12:32:17,FALSE,NA,"978610657775030272",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bodacious_bear",49,TRUE,FALSE,NA,NA
"RT @Goss30Goss: Guess the NRA &amp; idiots like Rick Santorum/Steve King feel powerful putting down teenagers who have survived a mass shooting…",FALSE,0,NA,2018-03-27 12:32:16,FALSE,NA,"978610656491593729",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DanRaymond48",978,TRUE,FALSE,NA,NA
"RT @RepSwalwell: Nothing outrages me more than hearing the NRA attacking high schoolers. Then it occurred to me: the NRA is attacking these…",FALSE,0,NA,2018-03-27 12:32:15,FALSE,NA,"978610651961667584",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Silvara75",4840,TRUE,FALSE,NA,NA
"RT @RepSwalwell: Nothing outrages me more than hearing the NRA attacking high schoolers. Then it occurred to me: the NRA is attacking these…",FALSE,0,NA,2018-03-27 12:32:15,FALSE,NA,"978610651395514368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RBodratti",4840,TRUE,FALSE,NA,NA
